,job_title,company_name,company_page,location,job_type,skills
48,Production Shift Engineer,Kandil Glass -,https://wuzzuf.net/jobs/careers/Kandil-Industries-Egypt-6195,"10th of Ramadan City, Cairo, Egypt",Full Time / On-site,"['2 - 5 Yrs of Exp', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Prodution', 'Engineering', 'Mechanical Engineering']"
49,Proposal & T.O Engineer,IETOS -,https://wuzzuf.net/jobs/careers/IETOS-Egypt-37034,"Sheraton, Cairo, Egypt",Full Time / On-site,"['Entry Level', '1 - 3 Yrs of Exp', 'males_only', 'Engineering - Mechanical/Electrical', 'Technical Office', 'Mechanical Engineering', 'Proposal', 'Mechanical', 'Sales', 'Electrical Engineering', 'Electrical Design']"
50,Mechanical Technical Office Engineer,Confidential -,,"Badr City, Cairo, Egypt",Full Time / On-site,"['2 - 4 Yrs of Exp', 'Engineering - Mechanical/Electrical', '3D', 'Design', 'Manufacturing', 'Mechanical Engineering', 'Mechanical', 'technical', 'Engineering']"
51,Mechanical sales engineer,Q Energy -,https://wuzzuf.net/jobs/careers/Q Energy-Egypt-111362,"Cairo, Egypt",Full Time / Hybrid,"['5 - 10 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'Engineering', 'Mechanical Engineering', 'Sales', 'Sales engineer', 'Mechanical Sales', 'Communication', 'HVAC', 'Mechanical', 'Microsoft Office']"
52,Civil Site Engineer,Mobica -,https://wuzzuf.net/jobs/careers/Mobica-Egypt-17185,"Giza, Egypt",Full Time / On-site,"['5 - 7 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering - Other', 'Civil Engineering', 'Civil', 'Construction', 'Engineering', 'Project Management']"
53,"System Support Senior Engineer ""Citrix""",e-finance -,https://wuzzuf.net/jobs/careers/e-finance-Egypt-2920,"Smart Village, Giza, Egypt",Full Time / On-site,"['3 - 5 Yrs of Exp', 'Engineering - Telecom/Technology', 'Active Directory', 'Analysis', 'Computer Engineering', 'Configuration', 'Engineering', 'Troubleshooting', 'Administration', 'Information Technology (IT)', 'Firewall']"
54,Design and Analysis Engineer,شركه طنطا موتورز -,https://wuzzuf.net/jobs/careers/شركه-طنطا-موتورز-Egypt-42744,"Tanta, Gharbia, Egypt",Full Time / On-site,"['5 - 8 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Mechanical Design', 'Engineering', 'Mechanical Engineering']"
55,Production Engineer,Confidential -,,"10th of Ramadan City, Cairo, Egypt",Full Time / On-site,"['Senior Management', '3 - 5 Yrs of Exp', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Manufacturing', 'Mechanical Engineering', 'Production', 'Mechanical', 'Management', 'Engineering', 'Time Management']"
56,Electrical Testing Engineer,Giza Cable Industries -,https://wuzzuf.net/jobs/careers/Giza-Cable-Industries-Egypt-22461,"6th of October, Giza, Egypt",Full Time / On-site,"['Entry Level', '0 - 2 Yrs of Exp', 'Quality', 'Electrical Engineering', 'Quality Control', 'Electrical']"
57,Civil Engineer,SEG -,https://wuzzuf.net/jobs/careers/SEG-Egypt-75566,"New Capital, Cairo, Egypt",Full Time / On-site,"['6 - 10 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'Engineering - Other', 'Civil', 'Civil Engineering', 'Construction', 'AutoCAD', 'Engineering', 'Project']"
58,Senior/Sales Engineer,Fine Tech  -,https://wuzzuf.net/jobs/careers/Fine-Tech-Egypt-57149,"Cairo, Egypt",Full Time / On-site,"['1+ Yrs of Exp', 'Business Development', 'Sales/Retail', 'Engineering - Mechanical/Electrical', 'Sales Field', 'Outdoor Sales', 'Engineering', 'Mechanical Engineering', 'Mechanical Engineering and plumbing (MEP)', 'Sales Planning', 'Business Administration']"
59,MEP - Procurement Engineer,REDCON Construction Co. S.A.E -,https://wuzzuf.net/jobs/careers/REDCON-Construction-Co--S-A-E-Egypt-104934,"New Cairo, Cairo, Egypt",Full Time / On-site,"['Entry Level', '2 - 5 Yrs of Exp', 'Purchasing/Procurement', 'Engineering - Mechanical/Electrical', 'MEP CONSTRUCTION', 'Construction', 'Procurement', 'MEP', 'Purchasing', 'Negotiation', 'Mechanical Engineering', 'Oracle']"
60,Junior R&D Engineer,3Brothers -,https://wuzzuf.net/jobs/careers/3Brothers-Egypt-14192,"10th of Ramadan City, Cairo, Egypt",Full Time / On-site,"['Entry Level', '0 - 2 Yrs of Exp', 'R&D/Science', 'Engineering - Mechanical/Electrical', 'CAD', 'Development', 'Electronics', 'Engineering', 'Mechanical Engineering', 'R&D', 'product  design', 'Design']"
61,Junior Product Development Engineer,3Brothers -,https://wuzzuf.net/jobs/careers/3Brothers-Egypt-14192,"Cairo, Egypt",Full Time / On-site,"['Entry Level', '0 - 2 Yrs of Exp', 'Creative/Design/Art', 'Engineering - Mechanical/Electrical', 'Design', 'Development', 'Electrical Engineering', 'Engineering', 'English', 'zemax', 'r&d', 'Product']"
62,Technical Sales Engineer,Catec -,https://wuzzuf.net/jobs/careers/Catec-Egypt-39801,"Nasr City, Cairo, Egypt",Full Time / Hybrid,"['2 - 15 Yrs of Exp', 'males_only', 'Sales/Retail', 'Engineering - Mechanical/Electrical', 'water treatment', 'Pumps', 'grundfos', 'lutz', 'german', 'engineering', 'factories', 'industrial']"
63,electric site/ technical engineer,Elmallah for Engineering and contracting company  -,https://wuzzuf.net/jobs/careers/Elmallah for Engineering and contracting company-Egypt-110348,"Maadi, Cairo, Egypt",Full Time / On-site,"['5 - 15 Yrs of Exp', 'Engineering - Mechanical/Electrical', 'Electric', 'Technical engineer', 'Site', 'Electrical', 'AutoCAD', 'Electrical Engineer', 'TO', 'Technical Office', 'Engineering']"
64,Production Engineer,Dreem Mashreq Foods  -,https://wuzzuf.net/jobs/careers/DREEM---Mashreq-Group-Egypt-7358,"Alexandria, Egypt",Full Time / On-site,"['3 - 7 Yrs of Exp', 'males_only', 'Manufacturing/Production', 'Manufacturing', 'Engineering', 'Production', 'OEE']"
65,Onshore Engineer / Operator,TWMA -,https://wuzzuf.net/jobs/careers/TWMA-Egypt-61459,"Ameria, Alexandria, Egypt",Full Time / On-site,"['1 - 3 Yrs of Exp', 'Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Engineering - Oil & Gas/Energy', 'Oil & Gas', 'Mechanical Engineering', 'Electrical Engineer', 'Engineering']"
66,Senior Network Engineer,Egypt University of Informatics (EUI) -,https://wuzzuf.net/jobs/careers/Egypt-University-of-Informatics--EUI--Egypt-64045,"New Capital, Cairo, Egypt",Full Time / On-site,"['5 - 7 Yrs of Exp', 'IT/Software Development', 'Computer Science', 'Engineering', 'Information Technology (IT)']"
67,Mechanical Technical Office Engineer HVAC,North point -,https://wuzzuf.net/jobs/careers/North-point-Egypt-40394,"Haram, Giza, Egypt",Full Time / On-site,"['Entry Level', '0 - 5 Yrs of Exp', 'females_only', 'Engineering - Mechanical/Electrical', 'Engineering', 'Mechanical', 'Mechanical Engineering', 'HVAC', 'Revit', 'technical', 'AutoCAD', 'Microsoft Office', 'English']"
68,Engineering Manager,Seoudi Supermarket -,https://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038,"Sheikh Zayed, Giza, Egypt",Full Time / On-site,"['Senior Management', '15 - 20 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'Project/Program Management', 'Engineering - Mechanical/Electrical', 'Maintenance', 'Project Management', 'Retail', 'Engineering', 'PMP', 'Facility Management', 'Facilities Engineering']"
69,Façade Senior Technical Office Engineer,AluNile -,https://wuzzuf.net/jobs/careers/AluNile-Egypt-25893,"Mohandessin, Giza, Egypt",Full Time / On-site,"['5 - 9 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'AutoCAD', 'Architecture', 'Engineering', 'aluminum', 'Facade', 'Curtain Wall', 'Cladding', 'skylights', 'glass']"
70,Senior Warranty Engineer,Elsaba AutoService -,https://wuzzuf.net/jobs/careers/Elsaba-Group-Egypt-13066,"Katameya, Cairo, Egypt",Full Time / On-site,"['3 - 5 Yrs of Exp', 'Engineering - Mechanical/Electrical', 'Warranty', 'Mechanical Engineering', 'Engineering', 'Analysis', 'Warranty Engineering', 'Automative', 'Computer Skills', 'Mechanical']"
71,Sales Engineer,Arab Mechanical Engineers  -,https://wuzzuf.net/jobs/careers/Arab-Mechanical-Engineers-Egypt-40225,"Nasr City, Cairo, Egypt",Full Time / On-site,"['Entry Level', '0 - 1 Yrs of Exp', 'Sales/Retail', 'Engineering - Other', 'Applied Arts', 'AutoCAD', 'Design', 'Engineering', 'English', 'Furniture', 'Interior Design', 'Negotiation']"
72,"Technical Office Engineer (Civil, Architecture, Mechanical & Electrical)",ELmohandes for construction and mechanic -,https://wuzzuf.net/jobs/careers/ELmohandes-for-construction-and-mechanic-Egypt-45159,"Alexandria, Egypt",Full Time / On-site,"['5 - 10 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Mechanical', 'Electrical Engineering', 'Architecture', 'Civil']"
73,Architecture Engineer,Seoudi Supermarket -,https://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038,"Sheikh Zayed, Giza, Egypt",Full Time / On-site,"['Entry Level', '1 - 3 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'Engineering - Other', 'Architecture', 'AutoCAD', 'HVAC', 'Communication', 'Communication skills', 'Engineering', 'Skills']"
74,Production Engineer,AluNile -,https://wuzzuf.net/jobs/careers/AluNile-Egypt-25893,"6th of October, Giza, Egypt",Full Time / On-site,"['2 - 5 Yrs of Exp', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Engineering', 'Industrial Engineering', 'Industrial', 'Mechanical Engineering', 'Sheet Metal', 'Mechanical', 'Metal', 'Production']"
75,Furniture Design engineer,Multi M Group  -,https://wuzzuf.net/jobs/careers/Multi-M-Group--Egypt-19179,"Qalubia, Egypt",Full Time / On-site / Volunteering,"['2 - 5 Yrs of Exp', 'Creative/Design/Art', 'Applied Arts', 'Design', 'Mechanical Engineering', 'SolidWorks', 'CAD', 'Arts', 'Engineering', 'Furniture Design']"
76,Technical Support / Application Support Engineer,eVision -,https://wuzzuf.net/jobs/careers/eVision-Egypt-7064,"New Cairo, Cairo, Egypt",Full Time / On-site,"['Entry Level', '0 - 2 Yrs of Exp', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'SQL', 'Oracle', 'Microsoft SQL', 'Networking', 'Application Security', 'Computer Engineering', 'Technical Support']"
